"AFR","20170620","0.076","0.08","0.076","0.08","432437"
"AFT","20170620","0.001","0.001","0.001","0.001","0"
"AFY","20170620","2.87","2.87","2.80","2.83","199133"
"AGD","20170620","0.165","0.165","0.16","0.16","25013"
"AGE","20170620","0.011","0.011","0.011","0.011","188550"
"AGEO","20170620","0.007","0.007","0.007","0.007","0"
"AGG","20170620","2.80","2.80","2.77","2.77","18695"
"AGI","20170620","2.30","2.44","2.29","2.36","783234"
"AGJ","20170620","0.049","0.049","0.049","0.049","0"
"AGL","20170620","26.03","26.03","25.73","25.83","1892551"
"AGLHA","20170620","103.85","104.79","103.85","104.79","4751"
"AGLIOV","20170620","16.25","16.25","16.25","16.25","0"
"AGLISF","20170620","2.22","2.22","2.22","2.22","0"
"AGLIYE","20170620","10.82","10.82","10.82","10.82","0"
"AGLJOC","20170620","17.67","17.67","17.67","17.67","0"
"AGLJOP","20170620","16.77","16.77","16.77","16.77","0"
"AGLJOQ","20170620","12.71","12.71","12.71","12.71","0"
"AGLKOB","20170620","1.13","1.13","1.13","1.13","0"
"AGLKOC","20170620","5.16","5.16","5.16","5.16","2000"
"AGLKOE","20170620","9.49","9.49","9.49","9.49","0"
"AGLKOP","20170620","7.50","7.50","7.50","7.50","0"
"AGLKOQ","20170620","3.49","3.49","3.49","3.49","0"
"AGLKOR","20170620","6.52","6.52","6.52","6.52","0"
"AGLSMY","20170620","11.07","11.07","11.07","11.07","0"
"AGLSO1","20170620","19.60","19.60","19.60","19.60","0"
"AGLSS4","20170620","3.92","3.92","3.92","3.92","0"
"AGLSSE","20170620","9.60","9.60","9.60","9.60","0"
"AGLSWR","20170620","18.98","18.98","18.98","18.98","0"
"AGLSZC","20170620","12.68","12.68","12.68","12.68","0"
"AGO","20170620","0.014","0.014","0.013","0.013","44840508"
"AGOKOQ","20170620","0.17","0.17","0.17","0.17","0"
"AGOKOR","20170620","0.66","0.66","0.66","0.66","0"
"AGOKOS","20170620","0.26","0.26","0.26","0.26","0"
"AGOKOU","20170620","0.255","0.255","0.255","0.255","0"
"AGOKOV","20170620","0.44","0.44","0.44","0.44","0"
"AGOO","20170620","0.001","0.001","0.001","0.001","0"
"AGOOA","20170620","0.001","0.001","0.001","0.001","0"
"AGR","20170620","0.44","0.44","0.44","0.44","0"
"AGS","20170620","0.083","0.085","0.08","0.08","651010"
"AGY","20170620","0.081","0.081","0.078","0.078","1074291"
"AHF","20170620","0.105","0.11","0.105","0.11","532233"
"AHG","20170620","3.20","3.25","3.18","3.21","925894"
"AHGKOB","20170620","1.07","1.07","1.07","1.07","0"
"AHGKOQ","20170620","1.01","1.01","1.01","1.01","0"
"AHGKOR","20170620","1.175","1.175","1.175","1.175","0"
"AHK","20170620","0.12","0.12","0.12","0.12","0"
"AHL","20170620","0.036","0.037","0.036","0.037","4144654"
"AHN","20170620","0.016","0.016","0.016","0.016","0"
"AHQ","20170620","0.021","0.021","0.021","0.021","150507"
"AHR","20170620","0.023","0.023","0.023","0.023","0"
"AHX","20170620","0.66","0.695","0.64","0.695","147030"
"AHY","20170620","1.48","1.52","1.475","1.485","2027286"
"AHZ","20170620","0.27","0.275","0.27","0.27","308763"
"AIA","20170620","6.71","6.84","6.62","6.62","60989"
